,ticker,datePurchased,quantity,costBasis,totalCost,date,stockclosevalue,tickername_x,splitdate,stocksplits,tickername_y,nextsplitdate,cumQuantity
986,T,2021-09-14,0.0,0.0,0.0,2021-09-14,20.64199447631836,T,,,,2022-04-10,0.0
987,T,2021-09-15,0.0,0.0,0.0,2021-09-15,20.82326316833496,T,,,,2022-04-10,0.0
988,T,2021-09-16,0.0,0.0,0.0,2021-09-16,20.84592056274414,T,,,,2022-04-10,0.0
989,T,2021-09-17,0.0,0.0,0.0,2021-09-17,20.79305076599121,T,,,,2022-04-10,0.0
990,T,2021-09-18,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
991,T,2021-09-19,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
992,T,2021-09-20,0.0,0.0,0.0,2021-09-20,20.551359176635742,T,,,,2022-04-10,0.0
993,T,2021-09-21,0.0,0.0,0.0,2021-09-21,20.362537384033203,T,,,,2022-04-10,0.0
994,T,2021-09-22,0.0,0.0,0.0,2021-09-22,20.40030288696289,T,,,,2022-04-10,0.0
995,T,2021-09-23,0.0,0.0,0.0,2021-09-23,20.5362548828125,T,,,,2022-04-10,0.0
996,T,2021-09-24,0.0,0.0,0.0,2021-09-24,20.490936279296875,T,,,,2022-04-10,0.0
997,T,2021-09-25,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
998,T,2021-09-26,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
999,T,2021-09-27,0.0,0.0,0.0,2021-09-27,20.69486427307129,T,,,,2022-04-10,0.0
1000,T,2021-09-28,0.0,0.0,0.0,2021-09-28,20.574018478393555,T,,,,2022-04-10,0.0
1001,T,2021-09-29,0.0,0.0,0.0,2021-09-29,20.69486427307129,T,,,,2022-04-10,0.0
1002,T,2021-09-30,0.0,0.0,0.0,2021-09-30,20.40030288696289,T,,,,2022-04-10,0.0
1003,T,2021-10-01,0.0,0.0,0.0,2021-10-01,20.513595581054688,T,,,,2022-04-10,0.0
1004,T,2021-10-02,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1005,T,2021-10-03,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1006,T,2021-10-04,0.0,0.0,0.0,2021-10-04,20.581571578979492,T,,,,2022-04-10,0.0
1007,T,2021-10-05,0.0,0.0,0.0,2021-10-05,20.657100677490234,T,,,,2022-04-10,0.0
1008,T,2021-10-06,0.0,0.0,0.0,2021-10-06,20.626888275146484,T,,,,2022-04-10,0.0
1009,T,2021-10-07,0.0,0.0,0.0,2021-10-07,20.460725784301758,T,,,,2022-04-10,0.0
